EVENT_ID,STATION_ID,DATE,SAMPLE_NUMBER,AGENCY_CODE,FINAL_ID,REPORTING_VALUE
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,ACENTRELLA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,ACRONEURIA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,AGNETINA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,ANTHOPOTAMUS,3
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,ARGIA,7
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,BRACHYCENTRUS,2
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,CHEUMATOPSYCHE,24
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,CHIMARRA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,CHIRONOMIDAE,8
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,CORBICULA,5
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,GAMMARUS,6
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,HYDROPSYCHE,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,HYDROPSYCHIDAE,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,ISONYCHIA,15
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,MACCAFFERTIUM,11
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,MACRONYCHUS,2
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,NEOPERLA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,NEURECLIPSIS,7
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,NEUROCORDULIA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,OLIGOCHAETA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,PHYSA,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,PLAUDITUS,4
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,POLYCENTROPUS,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,STENACRON,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,STENELMIS,9
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,TAENIOPTERYX,1
CRckLL_100A_41208,CRckLL_100A,10/26/2012,1,1,TRICORYTHODES,2
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,ACENTRELLA,4
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,AGNETINA,4
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,ANTHOPOTAMUS,6
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,BAETIDAE,4
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,BAETIS,14
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,CHEUMATOPSYCHE,4
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,CNEPHIA,4
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,CORBICULA,2
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,HETEROCLOEON,7
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,HYDROPSYCHE,5
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,LEUCROCUTA,5
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,MACCAFFERTIUM,1
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,MACROSTEMUM,1
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,NEOPERLA,1
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,OLIGOCHAETA,1
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,OPTIOSERVUS,2
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,ORTHOTRICHIA,7
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,PLAUDITUS,1
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,STENELMIS,34
CRckLL_100A_41508,CRckLL_100A,8/22/2013,1,1,TRICORYTHODES,7
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,AGNETINA CAPITATA,4
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,ANTHOPOTAMUS,2
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,BAETIS INTERCALARIS,15
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,CHEUMATOPSYCHE,17
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,CHIMARRA OBSCURA,2
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,CHIMARRA SOCIA,3
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,CORBICULA,2
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,CORYDALUS CORNUTUS,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,GAMMARUS,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,HETEROCLOEON,17
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,HYDROPSYCHE,2
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,HYDROPSYCHE PHALERATA,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,ISONYCHIA,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,LEUCROCUTA,2
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,LUMBRICULIDAE,4
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,MACCAFFERTIUM MEDIOPUNCTATUM,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,MACCAFFERTIUM PULCHELLUM,3
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,MACROSTEMUM,7
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,OPTIOSERVUS,2
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,PETROPHILA,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,PLAUDITUS,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,PROTOPTILA,5
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,SIMULIUM,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,STENELMIS,64
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,THIENEMANNIMYIA,1
CRckLL_100A_41862,CRckLL_100A,8/11/2014,1,1,TRICORYTHODES,1
CRckLL_100B_41208,CRckLL_100B,10/26/2012,1,1,AGNETINA,1
CRckLL_100B_41208,CRckLL_100B,10/26/2012,1,1,ANTHOPOTAMUS,1
