"SAMPLE_NUMBER","MEAN","DIFF_1","MAX","DIFF","PCT_DIFF","SD","METRIC","STATION_ID"
100,22.15,6.3075,28.4575,22.1646314679786,13.1529558961526,0.112138725993005,"RICH","ALL"
200,28.4575,4.17875,32.63625,12.8040139415527,8.71389844646022,0.129530265960314,"RICH","ALL"
300,32.63625,2.84500000000001,35.48125,8.01831953496567,5.93264518819728,0.143121100763408,"RICH","ALL"
400,35.48125,2.53125,38.0125,6.65899375205525,5.27838598686268,0.149360960151563,"RICH","ALL"
500,38.0125,1.84625,39.85875,4.6319816853263,3.8499635074549,0.162090318269154,"RICH","ALL"
600,39.85875,1.61875,41.4775,3.90271834126936,3.37556042122823,0.175604795926294,"RICH","ALL"
700,41.4775,1.6225,43.1,3.76450116009281,3.38338025231989,0.172723866634381,"RICH","ALL"
800,43.1,1.46875,44.56875,3.29547048099846,3.0627671775623,0.188308124990458,"RICH","ALL"
900,44.56875,1.245,45.81375,2.71752476057951,2.59618392242727,0.199327007369068,"RICH","ALL"
1000,45.81375,1.035,46.84875,2.20923717281679,2.15827338129497,0.204988051599351,"RICH","ALL"
1100,46.84875,1.10625,47.955,2.30685017203628,2.30685017203628,0.207398733337773,"RICH","ALL"
1200,47.955,0,0,0,0,0.2221551482351,"RICH","ALL"
100,6.91125,1.89,8.80125,21.4742224115893,14.5468539542043,0.0523344094252277,"RICH_EPHEMEROPTERA","ALL"
200,8.80125,0.98875,9.79,10.0995914198161,7.61015970752357,0.0540794904375261,"RICH_EPHEMEROPTERA","ALL"
300,9.79,0.652500000000002,10.4425,6.24850371079724,5.02212815085628,0.0527812212974659,"RICH_EPHEMEROPTERA","ALL"
400,10.4425,0.629999999999999,11.0725,5.68977195755249,4.84895131806811,0.0540499207206855,"RICH_EPHEMEROPTERA","ALL"
500,11.0725,0.401250000000001,11.47375,3.49711297526965,3.08832018472196,0.0549176622274716,"RICH_EPHEMEROPTERA","ALL"
600,11.47375,0.268749999999999,11.7425,2.28869491164572,2.06850105830286,0.0583922146805044,"RICH_EPHEMEROPTERA","ALL"
700,11.7425,0.36125,12.10375,2.98461220696065,2.78045025976525,0.0564510902861328,"RICH_EPHEMEROPTERA","ALL"
800,12.10375,0.28375,12.3875,2.29061553985872,2.18395228016163,0.0581632282742206,"RICH_EPHEMEROPTERA","ALL"
900,12.3875,0.262500000000001,12.65,2.07509881422926,2.02039638252839,0.0615287487370858,"RICH_EPHEMEROPTERA","ALL"
1000,12.65,0.168749999999999,12.81875,1.31643100926377,1.2988262459111,0.0611221719171926,"RICH_EPHEMEROPTERA","ALL"
1100,12.81875,0.17375,12.9925,1.33730998653069,1.33730998653069,0.0598119543588929,"RICH_EPHEMEROPTERA","ALL"
1200,12.9925,0,0,0,0,0.0624383926650762,"RICH_EPHEMEROPTERA","ALL"
